"Name","Country","Latitude","Longitude"
"   TASUCU              ","TR ","34.64       ","36.81"
"   MOMBETSU KO         ","JP ","44.35       ","143.35"
"   CHARLOTTETOWN       ","CA ","46,233,333","-63,133,333"
"   ABASHIRI KO         ","JP ","44,016,667","144,283,333"
"   NEMURO KO           ","JP ","43,333,333","145,583,333"
"   HANASAKI KO         ","JP ","43,283,333","145,583,333"
"   KUSHIRO KO          ","JP ","42,983,333","144,366,667"
"   TOMAKOMAI KO        ","JP ","42,633,333","141,633,333"
"   MURORAN KO          ","JP ","42.35       ","140,966,667"
"   MORI                ","JP ","42,116,667","140,583,333"
"   GOPALPUR            ","IN ","19.25       ","84,916,667"
"   EL GHARDAQA         ","EG ","27,216,667","33.85"
"   RAS SHUKHIER        ","EG ","28,133,333","33,283,333"
"   RAS GHARIB          ","EG ","28.35       ","33.1"
"   AS SUWAYS           ","EG ","29,966,667","32.55"
"   EL-ADABIYA          ","EG ","29,866,667","32,466,667"
"   EL ISMAILIYA        ","EG ","30,583,333","32,283,333"
"   RAS ABU ZANIMAH     ","EG ","29,033,333","33,116,667"
"   WADI FEIRAN         ","EG ","28.75       ","33.2"
"   ELAT                ","IL ","29.55       ","34.95"
"   AL AQABAH           ","JO ","29,516,667","35"
"   YANBU               ","SA ","24,083,333","38.05"
"   JIDDAH              ","SA ","21,483,333","39,183,333"
"   JIZAN               ","SA ","16-Sep","42,483,333"
"   SIMONSTOWN          ","ZA ","-34,183,333","18,433,333"
"   MOSSEL BAY          ","ZA ","-34,183,333","22.15"
"   PORT ELIZABETH      ","ZA ","-33,966,667","25,616,667"
"   BELFAST             ","GB ","54,616,667","-5.9"
"   LARNE               ","GB ","54.85       ","-5.8"
"   COLERAINE           ","GB ","55,133,333","-6,666,667"
"   LONDONDERRY         ","GB ","55","-7,316,667"
"   ORNSAY              ","GB ","57.15       ","-5.8"
"   BUCKIE HARBOR       ","GB ","57,683,333","-2,966,667"
"   LOSSIEMOUTH         ","GB ","57,716,667","-3,283,333"
"   BURGHEAD            ","GB ","57.7        ","-3.5"
"   INVERNESS           ","GB ","57,483,333","-4,233,333"
"   CROMARTY            ","GB ","57,683,333","-4,033,333"
"   INVERGORDON         ","GB ","57,683,333","-4,166,667"
"   PORTMAHOMACK HARBOR ","GB ","57,833,333","-3,833,333"
"   HELMSDALE HARBOR    ","GB ","58,116,667","-3.65"
"   WICK                ","GB ","58,433,333","-3,083,333"
"   PIEROWALL           ","GB ","59.3        ","-2,983,333"
"   KETTLETOFT          ","GB ","59,233,333","-2.6"
"   WHITEHALL           ","GB ","59,133,333","-2.6"
"   KIRKWALL            ","GB ","58,983,333","-2,966,667"
"   STROMNESS           ","GB ","58,966,667","-3.3"
"   SOUTH NESS          ","GB ","58.8        ","-3.2"
"   ST MARGARETS HOPE   ","GB ","58,833,333","-2.95"
"   LYNESS              ","GB ","58,833,333","-3.2"
"   SCAPA BAY           ","GB ","58.95       ","-2,983,333"
